"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GAB","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",41,
"GMB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"GMB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",57,
"GTM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"GTM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",23.5,
"GTM","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",21,
"GIN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"GIN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",65,
"GNB","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"GNB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",34,
"HND","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"HND","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",6.2,
"IRQ","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"IRQ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",31,
"JAM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"JAM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",17,
"JAM","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",24,
"JOR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"JOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",63,
"JOR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",24,
"KEN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"KEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",50.4,
"KEN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",38,
"KWT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"KWT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",38.2,
"KGZ","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"KGZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",19.3,
"LAO","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"LAO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",30,
"LBN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"LBN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",46.6,
"LBN","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",18.4,
"LSO","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"LSO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",30,
"LBR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"LBR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",45,
"LBR","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",43,
"LBY","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"LBY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",11.3,
"MDG","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",0,
"MDG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",41,
"MWI","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"MWI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",18.9,
"MWI","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",30,
"MLI","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"MLI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",74,
"MRT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"MUS","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"MNG","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"MNG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",62.9,
"MAR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"MAR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",52.3,
"MMR","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"NAM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",50,
"NAM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",28,
"NAM","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",27,
"NPL","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"NPL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",22,
"NPL","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",27,
"NIC","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"NIC","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",12,
"NIC","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",23,
"NER","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"NER","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",54,
"PSE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"PSE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",15.7,
"OMN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"PAN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"PNG","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"PNG","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",51,
"QAT","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"QAT","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",5,
"RWA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"RWA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",45,
"RWA","VIOLWOMEN","PREVVIOLLIFETIME","PC","A","2023",38,
"SEN","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"SEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",42,
"SLE","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
"SLE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",44,
"SOM","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",75,
"SOM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2023",75,
"LKA","VIOLWOMEN","LAWDOMVIOL","IDX","A","2023",25,
